GEOID10,Shape_Leng,Shape_Area,State,County,LIFEEXP,LIFEEXP_SE,NEG_LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_NEG_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,Perimeter_km,Area_ha,Perimeter,Area,Shape_Index,Index_1,Index_2,P_Index_1,P_Index_2,PCA_Index_V1,PCA_Index_V2
23005002900,22723.4337089,25061420.6058,Maine,"Cumberland County, ME",77.4,1.2917,72.6,24.3931146093864,4.6292663789721,2.3367697594502,8.9390731592566,60.9333809928064,41.0221366416362,22.3086337291798,54.67372588214699,85.4524746369114,22.723433708890948,2506.1420605767003,14.119682727127278,9.676262604817152,0.04853530576584048,22.57964478141306,52.87807037653615,0.4101842336505667,0.5378818342939696,-49.57409164348251,-108.77685485217538
23005002800,12611.6489988,8520108.66733,Maine,"Cumberland County, ME",77.2,2.0345,72.8,35.7618097139055,7.3342116820378,0,4.3256997455471,62.862100293403635,63.63142926318871,39.0525875240044,22.214977696134895,45.1868173040041,12.611648998840632,852.010866732952,7.836512950058602,3.28963031200585,0.05356750064808335,24.04434422829808,46.589582416147145,0.5002159569873256,0.44022459526681856,-54.70450161789211,-107.09070423515232
23005002700,31313.8392583,24597098.0009,Maine,"Cumberland County, ME",78.1,1.7804,71.9,37.2377266245671,5.9824046920821,4.170708050436501,5.3036437246964,54.118076344518414,66.1266044868595,30.8018921209395,67.5349945018881,58.1821167867657,31.313839258332408,2459.70980008521,19.45751161378927,9.4969867557268,0.02508483424562144,24.91889661835642,55.35273684819424,0.5498860640722041,0.576694517671239,-56.13327483258462,-115.66516505481896
23005002600,36566.56116,27721490.2917,Maine,"Cumberland County, ME",83.1,2.1157,66.9,17.3980382034073,2.9683377308707,0,2.6025584472872,10.230403765098371,25.6963577431632,11.8658654713811,22.214977696134895,19.1338470367574,36.5665611600344,2772.149029167257,22.72140067457174,10.703320616924126,0.02073234057326168,17.97378687631304,17.828290342506996,0.11800187659175192,0.03970629849723724,-39.20990842059741,-37.813577519200315
23005003500,17687.6890581,9650847.59193,Maine,"Cumberland County, ME",78.7,1.6508,71.3,16.148023549201,3.6628733997155,0,8.4821428571429,48.12638696513412,22.8699312395634,16.1413534516379,22.214977696134895,83.5254423163594,17.687689058132477,965.0847591926872,10.990617037740837,3.726210781405687,0.03084773400246403,19.91860796121188,38.575618333765945,0.23866970495807455,0.31336103540205235,-43.09554353608252,-81.88492831730886
23005003400,21798.2454674,8222549.51173,Maine,"Cumberland County, ME",80.4,1.8321,69.6,17.1336898395721,2.7616279069767,0.5753138075314,2.9112592072957,30.904934244820755,25.1043273034023,10.5906911158381,29.5186736515322,23.6529497828952,21.79824546739768,822.2549511732645,13.544797584322366,3.1747421508231417,0.0173046739013042,18.59637815227518,23.95431521969771,0.15606988070238148,0.1029146746496284,-40.3494629050711,-49.38449810716094
23005003300,15230.2919065,11955320.7654,Maine,"Cumberland County, ME",78.5,1.8312,71.5,16.7452830188679,5.3974895397489,0,2.7195720017833,50.08414875713031,24.1969832091424,27.1504976268828,22.214977696134895,20.8290405326941,15.23029190646166,1195.5320765383135,9.463661712209989,4.615972297438338,0.05154004323378088,19.272468912080026,28.8951295643969,0.1976378773662184,0.16755283499396809,-42.00896708367048,-63.32034219783423
23005003200,11702.8111722,4395063.6179,Maine,"Cumberland County, ME",79.9,1.8866,70.1,16.3076923076923,2.3859355378819,0.5263157894737,5.4129464285714,35.89949808617428,23.264653766748495,8.52108231884444,28.3533072731197,59.5527467813621,11.70281117216993,439.5063617902497,7.271787480862401,1.6969424998164726,0.03209111231702229,18.946578012723855,31.118257645249805,0.1776060050936062,0.2005570200914466,-40.92500130563791,-64.09788719455007
23001040000,66195.6921207,195238852.408,Maine,"Androscoggin County, ME",78.2,1.5427,71.8,11.8112244897959,5.1470588235294,0,0.8557980316645,53.11350401382124,13.3325230279298,25.5302729795923,22.214977696134895,2.29492538360341,66.19569212070634,19523.885240818166,41.13208340873542,75.38209570330481,0.04455606117134989,17.922816268997963,23.29724062021633,0.11514230820785488,0.0944700117659324,-38.50124550306367,-50.11614516323861
23001041000,74419.8022515,236615272.897,Maine,"Androscoggin County, ME",77.5,1.6723,72.5,22.7811713977721,5.9966011167759,0,3.7770897832817,59.99880851317337,37.5083856365869,30.9102605352085,22.214977696134895,37.0148747085518,74.41980225154033,23661.52728966041,46.242306944841864,91.35761108175792,0.04272339440549434,21.01097245956594,37.52946141793109,0.3093546609475299,0.29751426060795616,-46.494936305454694,-83.7223964875585
